Sentence	Predicted	Label
とりあえず肌をきれいにしてから服とか色々買おう	1	1
カメラを向けられても笑顔で応えられるようになりたい	1	1
まってまって渡韓できるようになるの！？	1	2
えびもにゅいも手で星つくってんのめちゃかわじゃない？	1	0
にゅい専用の垢を作ったけど情報収集垢になっちゃってわろてる	1	0
今はむかつく事しか思い出さないけどね	1	1
整体気になるな	1	1
秋冬って物欲爆発する	1	1
オレンジの香りってきになる	1	2
ジョーマローンのコフレ欲しすぎるな	1	2
ひっさびさにキャンメイクとセザンヌ買った?！色味が可愛すぎて最高	1	1
えびちゃんの特番見れた…！	1	0
ランサーズ面白い仕事いくつかあって探すとき楽しい	1	1
それより日曜久々に友達に会うから楽しみ?何着てこ	1	0
青系のアウターってめっちゃ可愛い	1	2
タイムセールは闇だ	1	1
A賞延期なのね	1	1
延期でもなんでもにゅい達の姿が見れるならいいじゃない	1	0
身近っていってもめちゃめちゃ距離はあるけど同じ空間にいれるってだけだけどね。でもそれでも最高に幸せなのよ	1	3
眠すぎてお昼も夜も食べずに爆睡してた	1	1
別れてからもうすぐ2年でやっと今の精神状態になれた…長かったけど学びは多かったな	1	2
私がして許されないことを妹がしたら許されるのは多分日頃の行いの差なんだろうな	1	1
お花とか飾りたいな	1	1
めちゃくちゃ可愛いお花の着せ替えを見つけてしまった	1	2
自己肯定感が低すぎて思ってること溜め込んで人に伝えなかったせいで都合の良い人になってるんだろうな	1	1
オンリーミネラルのパウダー気になる	1	2
なんかいいカラコンないかなー	1	1
深夜の非通知ほど怖いものはない	1	1
シャンプーどれがいいのかお試しサイズで毎日過ごしてるんだけど毎日違うから楽しい	1	1
やらかしたーーー	1	1
最近のガキは順番も守らんのか	1	1
結構お腹痛いから早く電車着いて…	1	1
先生に怒られたので学級委員やめたいです。	1	1
美容師さん、結婚するんだって	1	1
今日多分まともに人と喋れないわ	1	1
ショックのあまり、体調崩して午前で早退した。 みんな元気かな…	1	1
これで本当に、結婚してしまったんだね…	1	1
ダイエット初日にしてもうやめたい	1	1
龍拳先輩のストーリーにいよが写ってて感動	1	2
勝手な偏見(メンズ編) 星陵→ナリヤン 富士見→シンプルにヤリ〇ン 市立→イケメンだがヤリ〇ン 宮北→イケメン 富士東→イケメンだがナルシ 富士高→メガネ 飛龍→9.5割ヤリ〇ン 宮東→芋	1	1
非リアイケメンは性格難ってわけじゃなくて ずっとモテていたいから彼女を作らないのでストックが5?10いると予想 つまり狙っても無駄だよ	1	1
てか、昨日の頭ぽんぽんはなに	1	2
色々な事情により アカウント名がEYOからimoにかわりました	1	1
新しいバイト先のメンズがめちゃくちゃイケメンで、36歳なんだけど 「いよちゃん17歳なの？じゃあ、俺のことはパパって呼んでね」 って言ってきて なんか、ドキドキしちゃった/// パパ活したい	1	1
貧乏臭いヤツがBALENCIAGA履いても何もかっこよくないんですけど？ なんか、安っぽく見えるよﾌﾟﾌﾟﾌﾟ あ、GUCCIのキャップも同じな 学校で例えると、 吉原工業と飛龍あたり	1	1
たかゆきさんが 長い方が可愛いよ って言ったから切らない！	1	0
奥さんの話すんな	1	1
告白された。	1	2
ヨルシカとワンオク好きなメンズ 大体浮気性	1	1
トーストしたいけど、レンジでどうやってパン焼けるの？？	1	1
犬のためにまた引越しw	1	1
Break Jam 入ったはいいけど。MANAMISORAのダンスと全然違うし、ピリピリしてて何も楽しくない・・・	1	1
どうしよう、なんのやる気も出ない	1	1
星陵の2年生修学旅行可哀想だな もう少し遠くに行ってあげればいいのに	1	1
ダンスやめようかな。	1	1
ダンスは好きだけど、自分が望んでたサークルじゃないというか…	1	1
スタバも人が嫌で、勝手にやめまーすって言って放置しちゃったし、最悪だな。	1	1
オススメのバイト教えて	1	1
みんな東京か静岡に住んでるから、神奈川県民の私はひとりぼっち	1	1
せっかくいい大学入っても、何も充実してないのはコロナのせいだ！ コロナ鬱	1	1
ディズニーシー行きたいな。誰か私にご褒美下さい。	1	2
暇すぎて元彼ランキング付けてる。	1	1
頭痛い	1	1
コロナがあるから、無理に出席する必要ないみたいに言ってたのに欠席するなっておかしいだろ	1	1
しんどすぎるんだけど。	1	1
もう辞めたいなと思ってた頃に、途中で辞めるなとか。	1	1
明らかレベル高いくせに、全然余裕だよねみたいな雰囲気出すあのイソギンチャクみたいな頭のやつ死ね	1	1
てか、佐野こうせいラッパーになったってまじ？？	1	1
なんでダンスやってるやつってみんなイソギンチャクなの	1	1
富士川もゴミの掃き溜めだな。	1	1
呼吸するだけで金貰える美女になりたいもんだね	1	1
地球おはよう	1	2
まだここの家3ヶ月くらいしかまともに住んでないのに、、。 そして、湘南が住みやすすぎて今の家から歩いて10分程度のとこに引っ越すっていうねw	1	0
インスタ新しく作り直そうかな	1	1
心機一転	1	1
これから、ダンスだ。頑張らなきゃ	1	2
バイトと新居が決まったから今日はついてるぞ。	1	2
こう見えて母も父もギャンブラーなので、私もパチンコの血筋が流れてたりして（笑）	1	1
もう秋だってのに、暑くて汗かいてるの私だけ？	1	1
ガリガリになりたい。整形費ください。整形費。	1	1
ダンス1年で私だけ1番前で踊れることになった！ 人生いいこともあるもんだ	1	1
今日は帰ったらシチュー！	1	0
julidyのパーカー欲しいな	1	2
juliaちゃんからインスタメッセージきた！ なに、今日 死ぬの？？	1	0
つかれた	1	1
地球おはようございます	1	1
しばさんのダンス取ればよかったな。	1	1
勢いで散財したのを今起きて思い出した	1	1
タイガーシャークみたいに、アンチから認められたい	1	1
ダンスそんなうまくないと思ってたけど、私って結構うまいんだね。	1	0
マツエクもしたいな	1	1
美容院2ヶ月行ってないから、ギャルみたいな髪色になってるわ	1	1
誕生日サプライズとかされてみたかったな	1	1
いつになったら、ライブとか行けるの？？	1	1
というか、私のために歌ってほしい	1	1
フェス行きたいな	1	1
邦ロック好きな人ってあんまりいないんだね	1	1
履歴書書いた	1	1
サッカー部　大体ラップ好き	1	1
ラップが好きっていうか、ラップ好きな自分に酔ってない？？あの人たち	1	1
いつからそんな俺イケてるみたいな性格出てくんだろう、	1	1
ティックトックでバズってチヤホヤされたい人生だったな	1	1
diorのクリスマスコフレほしい	1	1
新居でjcom使いたかったな	1	1
早く犬と住みたいよ	1	1
明日の面接頑張ろ。	1	1
ニキビが増えた	1	1
化粧する機会も減ったのに肌荒れしてるの最悪じゃんね	1	1
みんな湘南に住めばいいのに。いい場所だよほんと	1	1
引越しも少し面倒だし、大変だな、	1	1
友達もっとほしいな	1	1
法学部なのに生物2つも取ってるよ	1	1
理系に進めばよかったかな	1	1
わーーディズニーシー行きたいよーー	1	1
前澤社長の秘書でもやりてえ	1	1
地球のみんな愛してる	1	0
課題が終わらん	1	1
やってもやっても課題が出てくるし、やる気のなさが重なるとたまる一方	1	1
大学生のつらい日常をお送りしています。	1	1
トレンドに生理用品ってワードが入るのどうかしてる。気持ち悪い	1	1
今日リモラブか	1	2
レモンさんって結局あの浮気男でしょ？	1	1
掃除機かけても又落ちるんですけど	1	1
白い床って髪の毛が目立つから掃除が大変だよね	1	1
というか、みんなこんなに髪って抜けるもんなの？	1	1
Go Toトラベルどうやって使うの？	1	1
もう少し晴れないかな	1	1
星野リゾートの5万円チケットもらったけどGo Toトラベルと併用できるの？	1	1
そもそもワンちゃんどうしよう	1	1
島根に行くか、軽井沢に行くか	1	2
今日はちょっと寒いから鍋にしよっと。	1	2
地震こわ	1	1
あれ、窓閉めたっけ。おじさんの声がするw	1	1
暗くなるの早くなったな	1	1
おはよう	1	2
家にノリがなかったからコンビニで買わなきゃ	1	1
今日は１５時から面接だ、緊張する	1	1
Ariana新曲出たね。	1	0
夜はピザ食べに行くから頑張ろっと。	1	2
おひるごはん何にしよう	1	1
というか、今日めっちゃ暑くない？	1	1
もうすぐ面接だ。どうしよう。	1	1
一人でアニメ見てオタクみたいな生活してる。	1	1
掃除しても掃除してもほこりが舞う	1	1
ルンバ欲しいな。この掃除機エンドレス地獄から抜け出したいよ。	1	1
この素晴らしい人材を逃してもっと悲しめ	1	1
しっかり体を引き締めてもらわないとねって言われた	1	1
セクハラじじい！	1	1
その発言はゴミだ	1	1
バイトの面接怖かったんですけど	1	1
2万8千円のパンツ買って嘆いてる、、	1	1
膝が痒い	1	1
ちゃんと働かなきゃ、	1	1
在宅ワークだけってちょっと無理があるよね。	1	1
私は、かわいいぞ！	1	0
私は全てのことでうまくいっている！	1	2
自己肯定感上げてかないとやってられないよね	1	2
新しい服買ったら、バイトもしてない人がどこにそんな金があるんだかって彼に言われた	1	1
正論かもしれないけど、まずは可愛いって言うとこじゃないの？	1	1
それ伝えたら、それはお前も同じだって	1	1
前に思ったことがあったらすぐに言うようにしよって言われたからいったのに	1	1
そして何か小さいことがあったらすぐ機嫌悪くなる	1	1
言えば言ったで、怒るし反撃してくるじゃん	1	1
私のように受け止める姿勢も持ってくれよ	1	1
なんでやねん	1	1
合わないとか言われたら、私もしんどいんですけど、	1	1
気持ちいい散財だった	1	2
だって買い物って楽しいよね	1	2
自分がボルテックスに入るためには必要なことだと思うもん	1	0
今日のお昼何にしよう	1	1
静岡と湘南ってこんなに気温が違うんだね。	1	1
そもそも結婚してたこと知らなかったな	1	1
平野ノラ妊娠だってよ	1	1
伊藤健太郎が捕まっちゃったら今日から俺はの劇場版見れなくなっちゃうってこと？	1	1
支持者多いだろうから戻ってきてほしいな	1	1
容疑者扱いはかわいそう。	1	1
沢尻エリカなんて女優で一番演技うまいし好きだったのに、麻薬で逮捕はつらい。	1	1
ワサビ風	1	1
今日は寒くて吸った空気が鼻にツーンとする	1	1
LUSHのお風呂気持ちかった	1	1
バスボムキラキラしてた	1	2
泡風呂も試したいな	1	2
今日は家にこっこが来る	1	0
ウーバーイーツしちゃおうかな	1	0
私がそんなに可愛くないから、別にどうでもいいんだ	1	1
私に魅力がないから、	1	1
どんなに良い服買おうが、なんとも思わないんだよ	1	1
犬には可愛いって言うのにな。おかしいな。	1	1
着てる人がだめだから	1	1
金無くなるし、愛情持ってかれるし、草	1	1
世間はハロウィンで肌出して仮装してるけど、私もいいなって思う。	1	1
大して可愛くない癖に私モデル気取りで恥ずかし、	1	1
絶対ダメって言われるから出来ないけど	1	1
涙が出て来ちゃった。	1	1
犬もかえて幸せなはずなのに	1	1
夕飯どうしよう	1	1
リラックマのキャラ弁懐かし	1	2
晴れないかな	1	1
ラムとニコは元気だな	1	1
首輪かみかみしてる	1	3
神奈川と静岡の気温差で体調崩しがちだよね	1	1
大学、文化祭無くなっちゃったし、今日はせっかくの休みだけど暇	1	1
ダンスの練習しなきゃ	1	1
セカストってあんまりお金にならないんだね	1	1
犬が可愛くて仕方ないなあ	1	2
バイトどうしよう。	1	1
制服ディズニーしたいな	1	1
スタバに戻りたい気持ちもあるけど	1	1
多分採用だけど、、、	1	1
髪色とメイク厳しいのはな、	1	1
家事とかも、しっかりできないとやっぱだめなのか	1	1
美味しいご飯が作れるようになりたい	1	1
2か月で4キロ痩せるのって可能？	1	1
お金が欲しいな	1	1
静岡に比べて求人が少ないよね。車持ってないし	1	1
働くことが生きがいなのに、働いてないから罪悪感	1	1
はやくお散歩したいなあ	1	1
まだガルパやってる人いる？	1	1
ワクチン終わって来週はトリミングか	1	1
塩分って摂りすぎたらいけないんだよね	1	1
辛いもの食べすぎて太った気がする	1	1
良かったと思うのは、甘いものがたくさん食べられないとこ	1	1
アンミカのテレビショッピングみたいなの、むかつく	1	1
おしっこ早く覚えてくれ	1	1
犬二匹、唐揚げと竜田揚げみたいな色してる	1	1
ソファーの下、狭い中二人寄り添っててかわいい	1	1
引き離すのかわいそうになってきちゃうよね	1	1
引っ越しの家具みるの楽しい	1	3
呼んでもぜんぜん来てくれないやん	1	1
実家に帰ってくると、より静かに感じるね	1	1
明日は晴れるかな	1	1
イソギンチャク許せん！！	1	1
よし。起きれた。パソコンに向かおう。	1	0
先週休んだから行かなきゃと思って慌ててゼミへ行って扉開けたら、3年生がいた。そういえば、ゼミ5限だった。恥ずかしい。帰宅。	1	1
２日病人とともにゴロゴロしてたから、スイッチ入れてやることやらなきゃだけど、1人でもゴロゴロしてしまう。	1	1
安堵と嬉さで泣きそう。	1	1
助成金通ってたし、無地の袴予約できたし、ライブも行けるし、ヨーグリーナ買えたし、K2に2日連続会えたし、とてもとてもいい日でした。	1	1
もう、蚊の季節だーーー！かゆいかゆいかゆい！	1	1
Mステ見てびっくり！なに歌うんだろーーー！！	1	0
差別的な考え方をするところが本当に嫌！！どこに就職してもメリットデメリット沢山あるのに！	1	1
めっちゃ綺麗やった。（；＿；）	1	1
自分教採受けないのに何故か緊張してる。頑張ってた小学校や特支組のみんなが無事に終わりますように。	1	1
いっつもこうやって何かしらぬけ落ちてて悲しくなる。(°_°)	1	1
